"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2006. 01",220.1,304.6,122.2,433.2,480.0,264.6,695.8,380.3,361.1,141.8,164.0,170.7,107.6,174.3,117.7,-,265.4,100.1,115.4,133.5,85.0,70.1,91.9,122.0,108.5
"2006. 02",188.3,265.3,117.7,375.9,490.7,270.8,703.6,336.3,343.8,142.5,162.7,167.9,105.9,171.9,116.0,-,237.5,100.0,116.8,128.1,86.4,70.2,94.2,112.3,100.2
"2006. 03",198.6,276.4,117.2,392.2,506.3,279.5,735.1,356.9,350.8,140.2,158.8,167.6,106.1,159.0,115.0,-,244.4,96.9,116.8,122.0,81.7,70.2,92.9,116.4,101.9
"2006. 04",196.3,263.4,116.0,359.7,500.4,278.9,675.9,341.8,335.4,136.5,160.0,168.5,106.5,167.5,118.4,-,241.4,97.0,108.6,123.5,84.3,70.6,92.8,111.0,100.5
"2006. 05",195.7,258.0,113.7,340.5,495.4,276.9,627.4,347.3,324.5,136.1,155.4,168.5,101.7,159.0,125.1,-,241.3,96.8,107.6,117.1,84.8,70.6,92.8,110.5,96.4
"2006. 06",179.1,239.7,111.6,318.3,452.0,269.6,588.2,328.9,316.9,133.5,156.5,172.0,103.6,148.6,120.2,-,225.3,93.6,119.7,117.7,86.1,74.1,94.4,109.9,115.0
"2006. 07",178.9,235.4,113.7,317.7,446.7,274.0,567.0,320.8,318.5,138.4,157.0,174.2,106.4,150.7,120.4,-,217.5,96.5,125.6,124.8,88.2,74.3,96.1,111.3,109.3
"2006. 08",188.3,238.5,117.6,325.1,458.9,271.1,629.3,345.1,328.4,137.7,157.8,177.8,105.9,150.1,132.0,-,218.0,95.3,124.2,125.9,88.3,76.2,100.0,110.5,115.2
"2006. 09",210.8,259.0,120.1,348.9,470.8,287.0,701.3,366.6,341.7,137.8,157.9,177.4,107.8,157.1,137.0,-,235.8,95.2,120.3,123.6,88.3,74.6,97.9,120.0,114.5
