"가구주교육정도별","가계수지항목별","항목","단위","2002. 1/4","2002. 2/4","2002. 3/4","2002. 4/4","2003. 1/4","2003. 2/4","2003. 3/4","2003. 4/4","2004. 1/4","2004. 2/4","2004. 3/4","2004. 4/4","2005. 1/4","2005. 2/4","2005. 3/4","2005. 4/4","2006. 1/4","2006. 2/4","2006. 3/4","2006. 4/4","2007. 1/4","2007. 2/4","2007. 3/4","2007. 4/4","2008. 1/4","2008. 2/4","2008. 3/4","2008. 4/4","2009. 1/4","2009. 2/4","2009. 3/4","2009. 4/4","2010. 1/4","2010. 2/4","2010. 3/4","2010. 4/4","2011. 1/4","2011. 2/4","2011. 3/4","2011. 4/4","2012. 1/4","2012. 2/4","2012. 3/4","2012. 4/4","2013. 1/4","2013. 2/4","2013. 3/4","2013. 4/4","2014. 1/4","2014. 2/4","2014. 3/4","2014. 4/4","2015. 1/4","2015. 2/4","2015. 3/4","2015. 4/4","2016. 1/4","2016. 2/4","2016. 3/4","2016. 4/4","2017. 1/4","2017. 2/4","2017. 3/4","2017. 4/4","2018. 1/4","2018. 2/4","2018. 3/4","2018. 4/4","2019. 1/4","2019. 2/4","2019. 3/4","2019. 4/4",
"전체 평균","가구원수","전체가구","명","3.446","3.421","3.431","3.415","3.487","3.476","3.464","3.468","3.441","3.425","3.409","3.414","3.4","3.39","3.361","3.355","3.375","3.321","3.308","3.307","3.287","3.292","3.296","3.293","3.344","3.35","3.343","3.359","3.311","3.321","3.316","3.33","3.291","3.303","3.29","3.301","3.27","3.28","3.268","3.277","3.263","3.273","3.261","3.272","3.219","3.241","3.241","3.248","3.189","3.195","3.191","3.202","3.152","3.16","3.148","3.157","3.116","3.12","3.117","3.119","3.081","3.091","3.077","3.09","3.08","3.083","3.08","3.087","3.059","3.069","3.063","3.071",
"전체 평균","가구원수","근로자가구","명","3.486","3.46","3.461","3.464","3.534","3.522","3.509","3.514","3.488","3.458","3.449","3.45","3.442","3.44","3.408","3.412","3.435","3.38","3.379","3.379","3.373","3.362","3.375","3.375","3.441","3.44","3.437","3.447","3.41","3.414","3.414","3.421","3.409","3.393","3.384","3.415","3.375","3.364","3.344","3.365","3.368","3.372","3.366","3.387","3.348","3.35","3.358","3.363","3.317","3.301","3.29","3.305","3.275","3.26","3.246","3.253","3.23","3.237","3.228","3.234","3.206","3.182","3.155","3.174","3.212","3.2","3.183","3.201","3.181","3.183","3.182","3.187",
"전체 평균","가구원수","근로자외가구","명","3.393","3.369","3.392","3.352","3.422","3.407","3.4","3.4","3.372","3.376","3.352","3.359","3.34","3.315","3.293","3.272","3.288","3.232","3.205","3.203","3.167","3.188","3.178","3.172","3.202","3.214","3.202","3.222","3.164","3.184","3.169","3.189","3.121","3.164","3.141","3.129","3.113","3.148","3.147","3.135","3.097","3.108","3.085","3.079","3.011","3.055","3.036","3.046","2.978","3.006","3.016","3.015","2.941","2.981","2.973","2.982","2.929","2.915","2.927","2.924","2.875","2.929","2.943","2.947","2.889","2.909","2.926","2.916","2.882","2.895","2.883","2.892",
"전체 평균","가구주연령","전체가구","세","44.66","44.746","44.991","45.211","44.531","44.488","44.638","44.729","45.137","45.207","45.382","45.873","45.866","46.019","46.245","46.376","46.423","46.55","46.724","46.983","47.225","47.205","47.304","47.558","47.542","47.389","47.511","47.528","47.949","47.946","47.97","47.977","48.046","48.117","48.448","48.452","48.522","48.755","48.731","48.913","49.039","49.118","49.191","49.186","49.466","49.541","49.543","49.645","49.858","49.578","49.698","49.844","50.076","50.313","50.291","50.499","50.827","51.174","51.122","51.163","51.343","51.571","51.752","51.85","52.426","52.59","52.786","52.994","53.199","53.167","53.21","53.341",
"전체 평균","가구주연령","근로자가구","세","41.598","41.565","41.877","42.03","41.848","41.943","42.293","42.258","42.703","42.778","42.879","43.228","43.189","43.499","43.399","43.651","43.697","43.769","43.75","43.996","43.965","43.97","44.064","44.159","43.974","44.2","44.221","44.13","44.283","44.443","44.786","44.915","44.566","45.065","45.332","45.112","44.894","45.584","45.495","45.691","45.489","46.09","46.237","46.009","46.157","46.399","46.376","46.355","46.23","46.329","46.3","46.45","46.132","46.988","47.071","47.251","47.104","47.861","47.846","47.921","47.583","48.549","48.701","48.819","48.273","48.794","49.134","49.17","49.164","49.51","49.517","49.665",
"전체 평균","가구주연령","근로자외가구","세","48.684","48.974","49.082","49.36","48.339","48.288","48.01","48.416","48.704","48.869","48.982","49.764","49.633","49.77","50.382","50.347","50.357","50.765","51.101","51.338","51.769","51.945","52.157","52.578","52.733","52.185","52.478","52.76","53.407","53.151","52.728","52.738","53.08","52.901","53.385","53.527","53.936","53.715","53.862","54.135","54.681","54.142","54.167","54.503","54.787","54.881","55.1","55.409","55.83","55.333","55.741","55.959","56.87","56.281","56.001","56.362","56.987","56.988","56.738","56.64","57.554","56.899","57.016","56.99","58.462","58.298","58.243","58.705","59.02","58.747","58.827","59.028",
"전체 평균","가구분포","전체가구","%","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전체 평균","가구분포","근로자가구","%","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전체 평균","가구분포","근로자외가구","%","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전체 평균","소득","전체가구","원","2591918.273","2551193.939","2638241.229","2586028.285","2663267.433","2637503.815","2760023.864","2786589.581","2846384.142","2789027.944","2941361.734","2896575.492","2989473.595","2903277.971","2993280.567","3006044.801","3129330.137","3031383.089","3099583.776","3219827.45","3302573.528","3148824.186","3341487.21","3339171.95","3531683.732","3392782.859","3575046.032","3463625.437","3524824.163","3326274.524","3484017.724","3565640.38","3775122.32","3583911.761","3703413.039","3649442.854","3913760.919","3761902.636","3946469.46","3936718.685","4178467.128","3993860.465","4187731.197","4137016.546","4237786.066","4076228.5","4302687.209","4209649.24","4442175.114","4186937.003","4422836.634","4287024.361","4549864.851","4304380.372","4439671.991","4334546.595","4590820.518","4342782.31","4464182.705","4335579.529","4665034.493","4380397.883","4581179.418","4472246.321","4854855.751","4619407.901","4843785.54","4685940.148","4917718.814","4802319.662","4983946.28","4880947.296",
