"월소득10분위별","가계수지항목별","항목","단위","2003. 1/4","2003. 2/4","2003. 3/4","2003. 4/4","2004. 1/4","2004. 2/4","2004. 3/4","2004. 4/4","2005. 1/4","2005. 2/4","2005. 3/4","2005. 4/4","2006. 1/4","2006. 2/4","2006. 3/4","2006. 4/4","2007. 1/4","2007. 2/4","2007. 3/4","2007. 4/4","2008. 1/4","2008. 2/4","2008. 3/4","2008. 4/4","2009. 1/4","2009. 2/4","2009. 3/4","2009. 4/4","2010. 1/4","2010. 2/4","2010. 3/4","2010. 4/4","2011. 1/4","2011. 2/4","2011. 3/4","2011. 4/4","2012. 1/4","2012. 2/4","2012. 3/4","2012. 4/4","2013. 1/4","2013. 2/4","2013. 3/4","2013. 4/4","2014. 1/4","2014. 2/4","2014. 3/4","2014. 4/4","2015. 1/4","2015. 2/4","2015. 3/4","2015. 4/4","2016. 1/4","2016. 2/4","2016. 3/4","2016. 4/4","2017. 1/4","2017. 2/4","2017. 3/4","2017. 4/4","2018. 1/4","2018. 2/4","2018. 3/4","2018. 4/4","2019. 1/4","2019. 2/4","2019. 3/4","2019. 4/4",
"전체  평균","가구원수","전체가구","명","3.464","3.449","3.439","3.442","3.409","3.391","3.376","3.377","3.365","3.36","3.334","3.327","3.347","3.299","3.29","3.289","3.262","3.27","3.272","3.269","3.331","3.34","3.333","3.351","3.326","3.339","3.334","3.349","3.306","3.322","3.309","3.321","3.28","3.289","3.278","3.292","3.272","3.285","3.272","3.285","3.238","3.261","3.263","3.269","3.206","3.217","3.21","3.217","3.165","3.178","3.166","3.176","3.131","3.133","3.133","3.137","3.1","3.111","3.097","3.112","3.07","3.074","3.069","3.077","3.047","3.059","3.052","3.064",
"전체  평균","가구원수","근로자가구","명","3.534","3.508","3.496","3.501","3.478","3.444","3.435","3.43","3.43","3.429","3.404","3.403","3.424","3.372","3.368","3.372","3.358","3.344","3.359","3.362","3.439","3.442","3.441","3.455","3.428","3.432","3.435","3.444","3.427","3.416","3.404","3.434","3.386","3.372","3.355","3.378","3.377","3.382","3.376","3.4","3.366","3.372","3.377","3.381","3.334","3.32","3.307","3.319","3.284","3.274","3.259","3.268","3.242","3.247","3.239","3.25","3.228","3.208","3.182","3.203","3.205","3.192","3.176","3.195","3.179","3.181","3.184","3.191",
"전체  평균","가구원수","근로자외가구","명","3.369","3.364","3.36","3.358","3.314","3.315","3.295","3.301","3.277","3.261","3.238","3.221","3.242","3.191","3.182","3.175","3.136","3.166","3.147","3.138","3.182","3.193","3.177","3.197","3.177","3.202","3.185","3.203","3.132","3.176","3.16","3.151","3.123","3.159","3.156","3.153","3.107","3.124","3.098","3.095","3.037","3.076","3.068","3.077","3.001","3.036","3.04","3.038","2.966","3.01","3.003","3.013","2.953","2.938","2.957","2.949","2.894","2.942","2.952","2.96","2.879","2.899","2.913","2.905","2.864","2.877","2.859","2.874",
"전체  평균","가구주연령","전체가구","세","44.784","44.9","45.046","45.199","45.48","45.597","45.814","46.275","46.302","46.379","46.564","46.773","46.812","46.943","47.104","47.371","47.606","47.575","47.692","47.925","47.812","47.681","47.818","47.804","47.9","47.896","47.887","47.925","48.016","48.078","48.401","48.419","48.518","48.745","48.735","48.886","48.998","49.059","49.11","49.122","49.378","49.421","49.436","49.537","49.74","49.535","49.656","49.827","50.063","50.297","50.279","50.511","50.89","51.209","51.144","51.173","51.463","51.585","51.759","51.909","52.654","52.772","52.974","53.181","53.393","53.408","53.514","53.678",
"전체  평균","가구주연령","근로자가구","세","41.81","42.004","42.359","42.374","42.675","42.824","42.905","43.344","43.273","43.515","43.367","43.702","43.675","43.851","43.849","44.051","44.047","44.169","44.226","44.325","44.055","44.306","44.316","44.174","44.175","44.383","44.666","44.82","44.46","45.02","45.292","45.054","44.845","45.531","45.404","45.565","45.361","45.954","46.028","45.816","45.907","46.177","46.226","46.233","46.022","46.215","46.233","46.415","46.076","46.91","46.999","47.256","47.087","47.898","47.858","47.95","47.611","48.523","48.704","48.862","48.408","48.957","49.253","49.323","49.247","49.641","49.726","49.921",
"전체  평균","가구주연령","근로자외가구","세","48.852","49.057","48.774","49.221","49.398","49.593","49.818","50.436","50.402","50.48","50.994","51.036","51.085","51.425","51.673","51.94","52.308","52.343","52.619","52.988","52.977","52.53","52.834","53.157","53.352","53.065","52.656","52.696","53.124","52.846","53.268","53.489","53.966","53.774","53.998","54.226","54.693","54.183","54.227","54.581","54.831","54.838","54.965","55.231","55.745","55.295","55.641","55.883","56.746","56.247","55.975","56.245","56.969","56.87","56.663","56.531","57.665","56.898","56.946","57.005","58.669","58.45","58.404","58.788","59.149","58.999","59.077","59.296",
"전체  평균","가구분포","전체가구","%","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전체  평균","가구분포","근로자가구","%","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전체  평균","가구분포","근로자외가구","%","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전체  평균","소득","전체가구","원","2582088.517","2558370.868","2672267.055","2709546.286","2757679.91","2717095.262","2863118.155","2815951.085","2907713.63","2837565.657","2919517.632","2928677.706","3033424.161","2965551.06","3033175.948","3134297.648","3214432.601","3074533.542","3255648.889","3248737.122","3429714.101","3280708.656","3477985.764","3371354.189","3472232.75","3295793.47","3449738.581","3535919.044","3727954.23","3545153.25","3660223.232","3620365.055","3857626.095","3713476.237","3897608.967","3883351.086","4123524.106","3942286.458","4141859.354","4092551.367","4192557.869","4040630.388","4259919.84","4163223.076","4403278.207","4152170.905","4387553.668","4264132.449","4517281.511","4270566.972","4416469.377","4301574.072","4555218.632","4306412.216","4445435.317","4312029.238","4593283.691","4346509.416","4537192.24","4445155.53","4762958.875","4530510.154","4747913.149","4606125.378","4826322.641","4704176.181","4876855.886","4771921.011",
