연도,회차,로또 당첨번호,보너스,순위,당첨자수,1인당 당첨금액
2021,960회,2 18 24 30 32 45,14,1등,10명,2401133213
2021,959회,1 14 15 24 40 41,35,1등,8명,3015312891
2021,958회,2 9 10 16 35 37,1,1등,15명,1596119675
2021,957회,4 15 24 35 36 40,1,1등,11명,2126634137
2021,956회,10 11 20 21 25 41,40,1등,11명,2022982671
2021,955회,4 9 23 26 29 33,8,1등,12명,2023170188
2021,954회,1 9 26 28 30 41,32,1등,10명,2478795900
2021,953회,7 9 22 27 37 42,34,1등,14명,1640636009
2021,952회,4 12 22 24 33 41,38,1등,9명,2713699834
2021,951회,2 12 30 31 39 43,38,1등,14명,1747552661
2021,950회,3 4 15 22 28 40,10,1등,8명,3281920500
2021,949회,14 21 35 36 40 44,30,1등,10명,2458569713
2021,948회,13 18 30 31 38 41,5,1등,11명,2188548716
2021,947회,3 8 17 20 27 35,26,1등,18명,1275855750
2021,946회,9 18 19 30 34 40,20,1등,11명,2157656182
2021,945회,9 10 15 30 33 37,26,1등,13명,1765554491
2021,944회,2 13 16 19 32 33,42,1등,13명,1961836356
2020,943회,1 8 13 36 44 45,39,1등,7명,3435045108
2020,942회,10 12 18 35 42 43,39,1등,6명,3761680313
2020,941회,12 14 25 27 39 40,35,1등,16명,1347297422
2020,940회,3 15 20 22 24 41,11,1등,8명,2846071079
2020,939회,4 11 28 39 42 45,6,1등,13명,1708363039
2020,938회,4 8 10 16 31 36,9,1등,10명,2249466563
2020,937회,2 10 13 22 29 40,26,1등,11명,2058420819
2020,936회,7 11 13 17 18 29,43,1등,14명,1492069179
2020,935회,4 10 20 32 38 44,18,1등,13명,1711055424
2020,934회,1 3 30 33 36 39,12,1등,4명,5765772844
2020,933회,23 27 29 31 36 45,37,1등,8명,2927797079
2020,932회,1 6 15 36 37 38,5,1등,7명,3390022983
2020,931회,14 15 23 25 35 43,32,1등,8명,2957108063
2020,930회,8 21 25 38 39 44,28,1등,8명,2832418829
2020,929회,7 9 12 15 19 23,4,1등,16명,1308035157
2020,928회,3 4 10 20 28 44,30,1등,7명,3134591358
2020,927회,4 15 22 38 41 43,26,1등,6명,3714203875
2020,926회,10 16 18 20 25 31,6,1등,10명,2032490663
2020,925회,13 24 32 34 39 42,4,1등,12명,1771080532
2020,924회,3 11 34 42 43 44,13,1등,9명,2382430667
2020,923회,3 17 18 23 36 41,26,1등,8명,2667554625
2020,922회,2 6 13 17 27 43,36,1등,6명,3417904500
2020,921회,5 7 12 22 28 41,1,1등,17명,1232573405
2020,920회,2 3 26 33 34 43,29,1등,7명,3120260197
2020,919회,9 14 17 18 42 44,35,1등,5명,4305150450
2020,918회,7 11 12 31 33 38,5,1등,18명,1117622646
2020,917회,1 3 23 24 27 43,34,1등,10명,2144799638
2020,916회,6 21 22 32 35 36,17,1등,11명,2025384341
2020,915회,2 6 11 13 22 37,14,1등,6명,3518640500
2020,914회,16 19 24 33 42 44,27,1등,11명,1950005557
2020,913회,6 14 16 21 27 37,40,1등,16명,1338755602
2020,912회,5 8 18 21 22 38,10,1등,14명,1493500581
2020,911회,4 5 12 14 32 42,35,1등,10명,2113538625
2020,910회,1 11 17 27 35 39,31,1등,21명,941316375
2020,909회,7 24 29 30 34 35,33,1등,11명,2021062875
2020,908회,3 16 21 22 23 44,30,1등,8명,2834856141
2020,907회,21 27 29 38 40 44,37,1등,7명,3165059036
2020,906회,2 5 14 28 31 32,20,1등,9명,2472607250
2020,905회,3 4 16 27 38 40,20,1등,7명,3017862536
2020,904회,2 6 8 26 43 45,11,1등,8명,2718077813
2020,903회,2 15 16 21 22 28,45,1등,13명,1684582212
2020,902회,7 19 23 24 36 39,30,1등,13명,1619317529
2020,901회,5 18 20 23 30 34,21,1등,9명,2267974667
2020,900회,7 13 16 18 35 38,14,1등,6명,3349851375
2020,899회,8 19 20 21 33 39,37,1등,6명,3359356063
2020,898회,18 21 28 35 37 42,17,1등,8명,2639313235
2020,897회,6 7 12 22 26 36,29,1등,13명,1619922520
2020,896회,5 12 25 26 38 45,23,1등,7명,3053222036
2020,895회,16 26 31 38 39 41,23,1등,12명,1928079219
2020,894회,19 32 37 40 41 43,45,1등,9명,2377935959
2020,893회,1 15 17 23 25 41,10,1등,9명,2377433625
2020,892회,4 9 17 18 26 42,36,1등,17명,1282017464
2019,891회,9 13 28 31 39 41,19,1등,7명,3082673947
2019,890회,1 4 14 18 29 37,6,1등,9명,2335486167
2019,889회,3 13 29 38 39 42,26,1등,10명,2108986950
2019,888회,3 7 12 31 34 38,32,1등,8명,2370359204
2019,887회,8 14 17 27 36 45,10,1등,8명,2535268688
2019,886회,19 23 28 37 42 45,2,1등,7명,2974643786
2019,885회,1 3 24 27 39 45,31,1등,13명,1543832568
2019,884회,4 14 23 28 37 45,17,1등,12명,1799077282
2019,883회,9 18 32 33 37 44,22,1등,15명,1360519525
2019,882회,18 34 39 43 44 45,23,1등,5명,4127270400
2019,881회,4 18 20 26 27 32,9,1등,8명,2503212282
2019,880회,7 17 19 23 24 45,38,1등,7명,2837810465
2019,879회,1 4 10 14 15 35,20,1등,6명,3206361313
2019,878회,2 6 11 16 25 31,3,1등,6명,3207993500
2019,877회,5 17 18 22 23 43,12,1등,12명,1716607188
2019,876회,5 16 21 26 34 42,24,1등,19명,1090657856
2019,875회,19 22 30 34 39 44,36,1등,14명,1415946724
2019,874회,1 15 19 23 28 42,32,1등,18명,1117123917
