일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/29","954000","64000","7.19","915000","965000","913000","1154392","1083488.0","6.7345095E7","70592343"
"2021/04/28","890000","-1000","-0.11","890000","895000","873000","341070","303046.0","6.2827185E7","70592343"
"2021/04/27","891000","8000","0.91","891000","903000","886000","404010","361677.0","6.2897778E7","70592343"
"2021/04/26","883000","9000","1.03","880000","885000","865000","219608","192721.0","6.2333039E7","70592343"
"2021/04/23","874000","3000","0.34","877000","879000","855000","210739","183484.0","6.1697708E7","70592343"
"2021/04/22","871000","7000","0.81","872000","881000","867000","201220","175855.0","6.1485931E7","70592343"
"2021/04/21","864000","-29000","-3.25","884000","889000","864000","361883","315167.0","6.0991784E7","70592343"
"2021/04/20","893000","12000","1.36","884000","895000","882000","232900","206966.0","6.3038962E7","70592343"
"2021/04/19","881000","-16000","-1.78","903000","904000","881000","268880","239485.0","6.2191854E7","70592343"
"2021/04/16","897000","6000","0.67","897000","910000","891000","271425","244369.0","6.3321332E7","70592343"
"2021/04/15","891000","-6000","-0.67","898000","898000","881000","299044","266209.0","6.2897778E7","70592343"
"2021/04/14","897000","29000","3.34","892000","899000","871000","555279","493201.0","6.3321332E7","70592343"
"2021/04/13","868000","51000","6.24","825000","875000","822000","713786","608824.0","6.1274154E7","70592343"
"2021/04/12","817000","5000","0.62","845000","845000","816000","485379","402270.0","5.7673944E7","70592343"
"2021/04/09","812000","2000","0.25","814000","816000","804000","376621","305163.0","5.7320983E7","70592343"
"2021/04/08","810000","-1000","-0.12","811000","814000","803000","288954","233112.0","5.7179798E7","70592343"
"2021/04/07","811000","-1000","-0.12","815000","836000","808000","279211","228436.0","5.725039E7","70592343"
"2021/04/06","812000","-5000","-0.61","821000","822000","801000","265899","214696.0","5.7320983E7","70592343"
"2021/04/05","817000","-11000","-1.33","828000","835000","815000","188784","155236.0","5.7673944E7","70592343"
"2021/04/02","828000","9000","1.10","830000","833000","822000","283958","235433.0","5.845046E7","70592343"
"2021/04/01","819000","14000","1.74","817000","822000","811000","361295","295112.0","5.7815129E7","70592343"
"2021/03/31","805000","-3000","-0.37","823000","826000","805000","374401","304608.0","5.6826836E7","70592343"
"2021/03/30","808000","9000","1.13","802000","816000","788000","372673","300034.0","5.7038613E7","70592343"
"2021/03/29","799000","-3000","-0.37","805000","812000","791000","275352","220743.0","5.6403282E7","70592343"
"2021/03/26","802000","14000","1.78","795000","806000","781000","624049","497057.0","5.6615059E7","70592343"
"2021/03/25","788000","4000","0.51","800000","805000","782000","530883","421543.0","5.5626766E7","70592343"
"2021/03/24","784000","9000","1.16","771000","792000","770000","506234","397133.0","5.5344397E7","70592343"
"2021/03/23","775000","-30000","-3.73","809000","814000","774000","727322","573097.0","5.4709066E7","70592343"
"2021/03/22","805000","-25000","-3.01","826000","828000","796000","595899","480772.0","5.6826836E7","70592343"
"2021/03/19","830000","-31000","-3.60","840000","846000","829000","537750","448506.0","5.8591645E7","70592343"
"2021/03/18","861000","4000","0.47","865000","875000","857000","554558","479447.0","6.0780007E7","70592343"
"2021/03/17","857000","-34000","-3.82","881000","882000","843000","780786","672223.0","6.0497638E7","70592343"
"2021/03/16","891000","-75000","-7.76","917000","935000","885000","941008","846539.0","6.2897778E7","70592343"
"2021/03/15","966000","22000","2.33","960000","975000","948000","336241","324572.0","6.8192203E7","70592343"
"2021/03/12","944000","5000","0.53","962000","963000","940000","255668","243132.0","6.6639172E7","70592343"
"2021/03/11","939000","48000","5.39","907000","943000","895000","601480","560237.0","6.628621E7","70592343"
"2021/03/10","891000","30000","3.48","910000","914000","886000","364520","327593.0","6.2897778E7","70592343"
"2021/03/09","861000","-29000","-3.26","888000","890000","850000","436628","376943.0","6.0780007E7","70592343"
"2021/03/08","890000","-14000","-1.55","911000","915000","889000","289075","259539.0","6.2827185E7","70592343"
"2021/03/05","904000","39000","4.51","853000","922000","853000","548940","489932.0","6.3815478E7","70592343"
"2021/03/04","865000","-5000","-0.57","870000","876000","855000","348607","301840.0","6.1062377E7","70592343"
"2021/03/03","870000","-21000","-2.36","883000","894000","863000","416803","363340.0","6.1415338E7","70592343"
"2021/03/02","891000","60000","7.22","863000","905000","857000","697301","619911.0","6.2897778E7","70592343"
"2021/02/26","831000","-59000","-6.63","865000","867000","825000","656689","552529.0","5.8662237E7","70592343"
"2021/02/25","890000","30000","3.49","867000","890000","866000","451276","395962.0","6.2827185E7","70592343"
"2021/02/24","860000","-25000","-2.82","875000","894000","860000","452597","397927.0","6.0709415E7","70592343"
"2021/02/23","885000","-31000","-3.38","901000","905000","882000","522075","464084.0","6.2474224E7","70592343"
