일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/29","304500","-11500","-3.64","314000","315500","303500","179219","55269.0","2.4587069E7","80745711"
"2021/04/28","316000","-2000","-0.63","316500","319000","313000","199679","62905.0","2.5515645E7","80745711"
"2021/04/27","318000","1500","0.47","317500","319000","314000","193168","61177.0","2.5677136E7","80745711"
"2021/04/26","316500","2000","0.64","313000","316500","310000","247214","77349.0","2.5556018E7","80745711"
"2021/04/23","314500","4000","1.29","310500","317000","308500","286058","89876.0","2.5394526E7","80745711"
"2021/04/22","310500","8500","2.81","304500","311000","300500","288484","88669.0","2.5071543E7","80745711"
"2021/04/21","302000","-3000","-0.98","303500","305500","299000","195335","58815.0","2.4385205E7","80745711"
"2021/04/20","305000","4000","1.33","298000","306500","297500","222261","67304.0","2.4627442E7","80745711"
"2021/04/19","301000","-1000","-0.33","302500","303000","297500","239465","72113.0","2.4304459E7","80745711"
"2021/04/16","302000","1500","0.50","303000","309000","299000","333709","101225.0","2.4385205E7","80745711"
"2021/04/15","300500","7000","2.39","298500","305000","294000","561007","168283.0","2.4264086E7","80745711"
"2021/04/14","293500","-6500","-2.17","296000","296500","290000","438168","128431.0","2.3698866E7","80745711"
"2021/04/13","300000","17000","6.01","287500","301500","287000","640853","189296.0","2.4223713E7","80745711"
"2021/04/12","283000","6500","2.35","279000","284000","277000","243431","68370.0","2.2851036E7","80745711"
"2021/04/09","276500","-3500","-1.25","280000","281500","275000","331822","92163.0","2.2326189E7","80745711"
"2021/04/08","280000","-1000","-0.36","284500","285500","280000","350951","98987.0","2.2608799E7","80745711"
"2021/04/07","281000","-500","-0.18","281500","282000","277000","219650","61565.0","2.2689545E7","80745711"
"2021/04/06","281500","2500","0.90","278500","284500","277000","237988","66970.0","2.2729918E7","80745711"
"2021/04/05","279000","-2000","-0.71","279500","280500","274500","202663","56329.0","2.2528053E7","80745711"
"2021/04/02","281000","4000","1.44","279000","281500","277000","280041","78361.0","2.2689545E7","80745711"
"2021/04/01","277000","2000","0.73","278000","281000","272500","338311","93676.0","2.2366562E7","80745711"
"2021/03/31","275000","6500","2.42","270000","278500","268500","456598","125799.0","2.2205071E7","80745711"
"2021/03/30","268500","-500","-0.19","272000","275000","268000","272297","73822.0","2.1680223E7","80745711"
"2021/03/29","269000","-5000","-1.82","273000","277000","268000","393690","107124.0","2.1720596E7","80745711"
