일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/29","370000","-3500","-0.94","373500","377500","369000","474778","176437.0","6.0777456E7","164263395"
"2021/04/28","373500","-6500","-1.71","381500","382000","373000","485971","182047.0","6.1352378E7","164263395"
"2021/04/27","380000","2500","0.66","378000","381500","376000","392509","148503.0","6.242009E7","164263395"
"2021/04/26","377500","-500","-0.13","376500","379000","374500","484369","182139.0","6.2009432E7","164263395"
"2021/04/23","378000","-2500","-0.66","377500","379500","374000","505140","190768.0","6.2091563E7","164263395"
"2021/04/22","380500","0","0.00","382000","384500","380000","394350","150354.0","6.2502222E7","164263395"
"2021/04/21","380500","-10500","-2.69","389000","389000","380500","835828","320185.0","6.2502222E7","164263395"
"2021/04/20","391000","1000","0.26","389000","391500","387500","417892","162827.0","6.4226987E7","164263395"
"2021/04/19","390000","-1500","-0.38","391500","393500","388500","449064","175418.0","6.4062724E7","164263395"
"2021/04/16","391500","500","0.13","394500","395000","391000","423962","166333.0","6.4309119E7","164263395"
"2021/04/15","391000","-500","-0.13","391500","398500","386500","889538","349682.0","6.4226987E7","164263395"
"2021/04/14","391500","3000","0.77","391500","398000","390000","757969","298406.0","6.4309119E7","164263395"
"2021/04/13","388500","3000","0.78","384000","389000","382000","586643","226338.0","6.3816329E7","164263395"
"2021/04/12","385500","2000","0.52","384500","393000","383000","680329","263009.0","6.3323539E7","164263395"
"2021/04/09","383500","2000","0.52","382000","385000","381500","469100","179549.0","6.2995012E7","164263395"
"2021/04/08","381500","-3000","-0.78","384500","387000","380000","626575","239895.0","6.2666485E7","164263395"
"2021/04/07","384500","-4000","-1.03","390500","391000","381500","578490","222241.0","6.3159275E7","164263395"
"2021/04/06","388500","11500","3.05","378500","391000","378000","997518","385999.0","6.3816329E7","164263395"
"2021/04/05","377000","-2500","-0.66","379500","380000","374500","421508","158652.0","6.19273E7","164263395"
"2021/04/02","379500","1000","0.26","381500","382500","378000","476668","180736.0","6.2337958E7","164263395"
"2021/04/01","378500","1500","0.40","375500","379000","372000","547402","205901.0","6.2173695E7","164263395"
"2021/03/31","377000","500","0.13","379500","383000","377000","568103","215458.0","6.19273E7","164263395"
"2021/03/30","376500","4500","1.21","373500","381000","373500","623997","235240.0","6.1845168E7","164263395"
"2021/03/29","372000","-11000","-2.87","383500","384000","372000","878014","329580.0","6.1105983E7","164263395"
"2021/03/26","383000","3000","0.79","380000","383000","377000","691786","263299.0","6.291288E7","164263395"
"2021/03/25","380000","-7000","-1.81","381500","384000","378000","672585","255541.0","6.242009E7","164263395"
"2021/03/24","387000","1000","0.26","380000","387000","376000","763754","291328.0","6.3569934E7","164263395"
"2021/03/23","386000","-10500","-2.65","397000","399000","384000","1167110","454596.0","6.340567E7","164263395"
"2021/03/22","396500","-5500","-1.37","402500","405500","393000","911358","362039.0","6.5130436E7","164263395"
"2021/03/19","402000","-1500","-0.37","397000","407500","395000","1258199","505531.0","6.6033885E7","164263395"
"2021/03/18","403500","20000","5.22","388500","410000","386500","1818409","728875.0","6.628028E7","164263395"
"2021/03/17","383500","-2000","-0.52","388000","391500","380500","1200355","462798.0","6.2995012E7","164263395"
"2021/03/16","385500","2500","0.65","384500","389500","384000","574082","221456.0","6.3323539E7","164263395"
"2021/03/15","383000","2500","0.66","382000","385500","377500","609496","232530.0","6.291288E7","164263395"
"2021/03/12","380500","7000","1.87","396000","396000","378500","969276","372894.0","6.2502222E7","164263395"
"2021/03/11","373500","1500","0.40","372500","377500","366000","1024741","382286.0","6.1352378E7","164263395"
"2021/03/10","372000","10500","2.90","373000","378000","368000","946917","352370.0","6.1105983E7","164263395"
"2021/03/09","361500","-7000","-1.90","366500","371500","350000","1313900","470398.0","5.9381217E7","164263395"
"2021/03/08","368500","-9000","-2.38","382000","386000","366500","1031748","388038.0","6.0531061E7","164263395"
"2021/03/05","377500","-14000","-3.58","386000","386500","371000","1594386","599799.0","6.2009432E7","164263395"
"2021/03/04","391500","-8000","-2.00","392000","401000","389000","1585134","624774.0","6.4309119E7","164263395"
"2021/03/03","399500","22000","5.83","379000","399500","377500","1287551","501969.0","6.5623226E7","164263395"
"2021/03/02","377500","2500","0.67","389000","390000","375500","1240322","474655.0","6.2009432E7","164263395"
"2021/02/26","375000","-8000","-2.09","372000","378500","368500","1170208","436567.0","6.1598773E7","164263395"
"2021/02/25","383000","9000","2.41","380500","384500","374500","757476","288003.0","6.291288E7","164263395"
"2021/02/24","374000","-16500","-4.23","389500","391500","374000","1078485","412846.0","6.143451E7","164263395"
"2021/02/23","390500","4000","1.03","379000","394500","378500","1017577","393313.0","6.4144856E7","164263395"
"2021/02/22","386500","-11500","-2.89","400000","405500","384500","1289395","507097.0","6.3487802E7","164263395"
"2021/02/19","398000","10000","2.58","387000","398500","385500","1047043","410157.0","6.5376831E7","164263395"
"2021/02/18","388000","-4000","-1.02","391500","400000","386500","1020222","399927.0","6.3734197E7","164263395"
"2021/02/17","392000","-2000","-0.51","396500","396500","386000","1161595","453918.0","6.4391251E7","164263395"
"2021/02/16","394000","8500","2.20","391500","405000","390000","1567108","624093.0","6.4719778E7","164263395"
"2021/02/15","385500","19000","5.18","383500","388000","378000","1172475","449539.0","6.3323539E7","164263395"
"2021/02/10","366500","8000","2.23","365000","368500","359000","1147417","419083.0","6.0202534E7","164263395"
"2021/02/09","358500","1000","0.28","359500","362000","355000","667655","239484.0","5.8888427E7","164263395"
"2021/02/08","357500","-5000","-1.38","361500","364500","357000","712484","256928.0","5.8724164E7","164263395"
"2021/02/05","362500","4500","1.26","363500","371500","356500","982325","356920.0","5.9545481E7","164263395"
"2021/02/04","358000","-12500","-3.37","368000","368500","356000","1160116","418468.0","5.8806295E7","164263395"
"2021/02/03","370500","8000","2.21","366500","371000","361000","1197680","438797.0","6.0859588E7","164263395"
"2021/02/02","362500","14500","4.17","358000","373000","353000","1951062","712826.0","5.9545481E7","164263395"
"2021/02/01","348000","5000","1.46","346500","352500","341500","988630","343584.0","5.7163661E7","164263395"
"2021/01/29","343000","-12000","-3.38","362000","362000","340500","1607894","563409.0","5.6342344E7","164263395"
"2021/01/28","355000","13500","3.95","336000","366000","335000","2285696","805428.0","5.8313505E7","164263395"
"2021/01/27","341500","-500","-0.15","347000","352000","339500","1149246","396932.0","5.6095949E7","164263395"
"2021/01/26","342000","-7000","-2.01","350500","351000","338000","1247284","427933.0","5.6178081E7","164263395"
"2021/01/25","349000","5500","1.60","349000","353000","340000","1593848","554410.0","5.7327925E7","164263395"
