일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/29","81900","-200","-0.24","82400","82500","81500","13395403","1098489.0","4.88925191E8","5969782550"
"2021/04/28","82100","-800","-0.97","83200","83200","82100","15596759","1284554.0","4.90119147E8","5969782550"
"2021/04/27","82900","-600","-0.72","83200","83300","82500","12941533","1071382.0","4.94894973E8","5969782550"
"2021/04/26","83500","700","0.85","82900","83500","82600","15489938","1286360.0","4.98476843E8","5969782550"
"2021/04/23","82800","400","0.49","81900","82900","81600","17805080","1464208.0","4.94297995E8","5969782550"
"2021/04/22","82400","-200","-0.24","82900","83000","82400","13934746","1151304.0","4.91910082E8","5969782550"
"2021/04/21","82600","-1300","-1.55","83300","83500","82500","21636079","1792609.0","4.93104039E8","5969782550"
"2021/04/20","83900","600","0.72","83300","84000","83100","15521965","1298186.0","5.00864756E8","5969782550"
"2021/04/19","83300","-600","-0.72","83800","84000","83300","15287311","1277282.0","4.97282886E8","5969782550"
"2021/04/16","83900","-200","-0.24","84700","84700","83600","15429522","1294517.0","5.00864756E8","5969782550"
"2021/04/15","84100","100","0.12","83700","84500","83400","16377412","1375438.0","5.02058712E8","5969782550"
"2021/04/14","84000","0","0.00","84000","84300","83400","13794652","1156327.0","5.01461734E8","5969782550"
"2021/04/13","84000","800","0.96","83000","84500","82800","15238206","1276903.0","5.01461734E8","5969782550"
"2021/04/12","83200","-400","-0.48","84100","84100","83100","12915282","1078274.0","4.96685908E8","5969782550"
"2021/04/09","83600","-1100","-1.30","84700","84900","83400","18193707","1527079.0","4.99073821E8","5969782550"
"2021/04/08","84700","-900","-1.05","85700","85700","84100","19244259","1629938.0","5.05640582E8","5969782550"
"2021/04/07","85600","-400","-0.47","86100","86200","85400","17885538","1532761.0","5.11013386E8","5969782550"
"2021/04/06","86000","600","0.70","86200","86200","85100","19042023","1633461.0","5.13401299E8","5969782550"
"2021/04/05","85400","600","0.71","85800","86000","84800","16255990","1385160.0","5.0981943E8","5969782550"
"2021/04/02","84800","1900","2.29","84000","85200","83900","22997538","1947587.0","5.0623756E8","5969782550"
"2021/04/01","82900","1500","1.84","82500","83000","82000","18676461","1542485.0","4.94894973E8","5969782550"
"2021/03/31","81400","-800","-0.97","82400","82700","81400","17240518","1413779.0","4.859403E8","5969782550"
"2021/03/30","82200","600","0.74","81600","82300","81300","13121698","1074969.0","4.90716126E8","5969782550"
"2021/03/29","81600","100","0.12","81700","81700","81000","14952134","1216568.0","4.87134256E8","5969782550"
"2021/03/26","81500","300","0.37","81400","81600","81000","12845778","1044262.0","4.86537278E8","5969782550"
"2021/03/25","81200","200","0.25","81000","82100","80800","14758826","1200699.0","4.84746343E8","5969782550"
"2021/03/24","81000","-800","-0.98","81000","81600","80700","17926638","1454204.0","4.83552387E8","5969782550"
"2021/03/23","81800","-200","-0.24","82600","82900","81800","13299907","1092867.0","4.88328213E8","5969782550"
"2021/03/22","82000","100","0.12","82000","82300","81700","12670506","1039543.0","4.89522169E8","5969782550"
"2021/03/19","81900","-1000","-1.21","82100","82500","81800","15869700","1301953.0","4.88925191E8","5969782550"
"2021/03/18","82900","600","0.73","82800","83800","82600","18585244","1545981.0","4.94894973E8","5969782550"
"2021/03/17","82300","-500","-0.60","82800","82900","82000","11625146","957444.0","4.91313104E8","5969782550"
"2021/03/16","82800","1000","1.22","82200","83000","82100","12293537","1014281.0","4.94297995E8","5969782550"
"2021/03/15","81800","-1000","-1.21","82800","82900","81800","13735798","1128533.0","4.88328213E8","5969782550"
"2021/03/12","82800","800","0.98","83100","83500","82400","13530573","1121129.0","4.94297995E8","5969782550"
"2021/03/11","82000","1100","1.36","81000","82500","81000","23818297","1952165.0","4.89522169E8","5969782550"
