일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/29","272000","2000","0.74","270500","277000","264000","823158","222474.0","3.7455332E7","137703428"
"2021/04/28","270000","-4000","-1.46","272500","282000","266000","1371738","374869.0","3.7179926E7","137703428"
"2021/04/27","274000","-11000","-3.86","285000","285500","273500","1344606","373664.0","3.7730739E7","137703428"
"2021/04/26","285000","-3000","-1.04","288000","288500","284000","716990","204421.0","3.9245477E7","137703428"
"2021/04/23","288000","0","0.00","288000","291000","285000","521531","150551.0","3.9658587E7","137703428"
"2021/04/22","288000","-2500","-0.86","292000","294500","287000","772035","224075.0","3.9658587E7","137703428"
"2021/04/21","290500","-9500","-3.17","295500","297500","290000","1004575","294123.0","3.9225556E7","135027731"
"2021/04/20","300000","-9500","-3.07","306500","308000","299500","1058058","319652.0","4.0508319E7","135027731"
"2021/04/19","309500","1500","0.49","308000","313500","305500","569414","176338.0","4.1791083E7","135027731"
"2021/04/16","308000","-1500","-0.48","310500","312000","306500","378139","116630.0","4.1588541E7","135027731"
"2021/04/15","309500","-5500","-1.75","314500","315000","309000","547071","169836.0","4.1791083E7","135027731"
"2021/04/14","315000","-1000","-0.32","317000","319000","313000","407935","128651.0","4.2533735E7","135027731"
"2021/04/13","316000","5500","1.77","312500","319000","309000","573517","180668.0","4.2668763E7","135027731"
"2021/04/12","310500","1000","0.32","309500","311000","306000","342305","105494.0","4.192611E7","135027731"
"2021/04/09","309500","-2000","-0.64","312500","314500","309000","347094","108097.0","4.1791083E7","135027731"
"2021/04/08","311500","5500","1.80","306500","311500","303000","486544","149740.0","4.2061138E7","135027731"
"2021/04/07","306000","2500","0.82","304000","312000","303000","458016","140817.0","4.1318486E7","135027731"
"2021/04/06","303500","-4500","-1.46","309000","313000","302000","634988","194233.0","4.0980916E7","135027731"
"2021/04/05","308000","-12500","-3.90","318000","319000","307000","716852","222796.0","4.1588541E7","135027731"
"2021/04/02","320500","-4000","-1.23","324500","326000","318000","500451","160737.0","4.3276388E7","135027731"
"2021/04/01","324500","0","0.00","323500","327500","318000","528893","170639.0","4.3816499E7","135027731"
"2021/03/31","324500","1000","0.31","326500","330000","322500","529579","172092.0","4.3816499E7","135027731"
"2021/03/30","323500","-7000","-2.12","328500","329000","323000","614957","200249.0","4.3681471E7","135027731"
"2021/03/29","330500","16500","5.25","332500","334500","322000","1786627","589357.0","4.4626665E7","135027731"
"2021/03/26","314000","6500","2.11","311500","316500","304000","815381","253724.0","4.2398708E7","135027731"
"2021/03/25","307500","7500","2.50","301500","307500","299000","585517","177837.0","4.1521027E7","135027731"
"2021/03/24","300000","7500","2.56","294000","302000","292000","567246","168806.0","4.0508319E7","135027731"
"2021/03/23","292500","3500","1.21","294000","304000","291000","718171","213488.0","3.9495611E7","135027731"
"2021/03/22","289000","2000","0.70","290000","294500","286000","465736","135101.0","3.9023014E7","135027731"
"2021/03/19","287000","-5000","-1.71","288000","290500","284000","459008","131840.0","3.8752959E7","135027731"
"2021/03/18","292000","-1500","-0.51","295500","299500","292000","401776","118568.0","3.9428097E7","135027731"
"2021/03/17","293500","-3000","-1.01","296500","298000","291000","360539","105535.0","3.9630639E7","135027731"
"2021/03/16","296500","7500","2.60","290500","298000","289000","410799","120770.0","4.0035722E7","135027731"
"2021/03/15","289000","-8000","-2.69","296500","297000","289000","474511","137953.0","3.9023014E7","135027731"
"2021/03/12","297000","4000","1.37","296000","301000","293000","416941","123994.0","4.0103236E7","135027731"
"2021/03/11","293000","7500","2.63","285500","296500","284500","660641","192631.0","3.9563125E7","135027731"
"2021/03/10","285500","-2000","-0.70","291500","296500","284000","494901","143325.0","3.8550417E7","135027731"
"2021/03/09","287500","-3500","-1.20","288000","292000","280500","853291","244093.0","3.8820473E7","135027731"
"2021/03/08","291000","-10500","-3.48","304000","304000","290500","595881","176200.0","3.929307E7","135027731"
"2021/03/05","301500","-5000","-1.63","305000","307000","300000","469774","141899.0","4.0710861E7","135027731"
