일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/29","218000","-3500","-1.58","221000","221500","217000","626858","137022.0","4.6579665E7","213668187"
"2021/04/28","221500","1500","0.68","220000","223500","219500","701452","155254.0","4.7327503E7","213668187"
"2021/04/27","220000","-1500","-0.68","222000","222500","218000","763634","167336.0","4.7007001E7","213668187"
"2021/04/26","221500","500","0.23","221500","222500","220000","653982","144751.0","4.7327503E7","213668187"
"2021/04/23","221000","-5000","-2.21","225500","225500","220500","1202196","266193.0","4.7220669E7","213668187"
"2021/04/22","226000","500","0.22","226500","231000","225500","1025922","233565.0","4.828901E7","213668187"
"2021/04/21","225500","-3500","-1.53","227500","228000","224000","848076","191335.0","4.8182176E7","213668187"
"2021/04/20","229000","-1000","-0.43","230000","231000","228500","722449","165733.0","4.8930015E7","213668187"
"2021/04/19","230000","-1500","-0.65","232000","232500","229000","715867","165145.0","4.9143683E7","213668187"
"2021/04/16","231500","1000","0.43","231500","233500","230500","577562","133927.0","4.9464185E7","213668187"
"2021/04/15","230500","-2000","-0.86","232500","232500","229000","555364","128132.0","4.9250517E7","213668187"
"2021/04/14","232500","2500","1.09","231000","237000","230500","940909","219767.0","4.9677853E7","213668187"
"2021/04/13","230000","4000","1.77","226500","230000","226000","634607","145105.0","4.9143683E7","213668187"
"2021/04/12","226000","-2500","-1.09","228000","229000","225500","659014","149366.0","4.828901E7","213668187"
"2021/04/09","228500","-3000","-1.30","231500","232000","227000","726250","166069.0","4.8823181E7","213668187"
"2021/04/08","231500","1500","0.65","229000","233500","227000","915323","211452.0","4.9464185E7","213668187"
"2021/04/07","230000","0","0.00","228500","232500","226500","708886","162942.0","4.9143683E7","213668187"
"2021/04/06","230000","-4000","-1.71","235000","235000","229500","737694","170703.0","4.9143683E7","213668187"
"2021/04/05","234000","500","0.21","236000","236500","230000","990184","230724.0","4.9998356E7","213668187"
"2021/04/02","233500","14500","6.62","225500","238500","225000","3648528","850019.0","4.9891522E7","213668187"
"2021/04/01","219000","1000","0.46","220500","224500","218500","749450","165856.0","4.6793333E7","213668187"
"2021/03/31","218000","-1500","-0.68","221500","222000","218000","750876","164963.0","4.6579665E7","213668187"
"2021/03/30","219500","4000","1.86","215500","221000","215000","935840","205105.0","4.6900167E7","213668187"
"2021/03/29","215500","0","0.00","215500","217500","211000","1184415","254267.0","4.6045494E7","213668187"
"2021/03/26","215500","-2500","-1.15","219500","219500","212000","1480861","317323.0","4.6045494E7","213668187"
"2021/03/25","218000","-3000","-1.36","218500","220500","216000","1087519","236685.0","4.6579665E7","213668187"
"2021/03/24","221000","-5500","-2.43","225000","225500","220000","1049551","232120.0","4.7220669E7","213668187"
"2021/03/23","226500","-2500","-1.09","229500","231000","225500","1024811","232564.0","4.8395844E7","213668187"
"2021/03/22","229000","-500","-0.22","230000","231000","227500","739527","169373.0","4.8930015E7","213668187"
"2021/03/19","229500","-4500","-1.92","230000","232000","229000","1055587","242978.0","4.9036849E7","213668187"
"2021/03/18","234000","2000","0.86","234500","238000","233500","1005422","237037.0","4.9998356E7","213668187"
"2021/03/17","232000","-2000","-0.85","234000","234000","230000","627439","144944.0","4.9571019E7","213668187"
"2021/03/16","234000","2000","0.86","233500","235000","232000","633617","147860.0","4.9998356E7","213668187"
"2021/03/15","232000","-500","-0.22","233000","236000","230000","769672","179483.0","4.9571019E7","213668187"
"2021/03/12","232500","4000","1.75","231500","233500","229000","823038","190566.0","4.9677853E7","213668187"
"2021/03/11","228500","1000","0.44","228000","232000","227500","1154314","265077.0","4.8823181E7","213668187"
"2021/03/10","227500","-4000","-1.73","236500","236500","227000","901351","207384.0","4.8609513E7","213668187"
"2021/03/09","231500","1000","0.43","230500","234000","228000","1254755","290066.0","4.9464185E7","213668187"
"2021/03/08","230500","-4500","-1.91","237000","237500","230000","853206","198495.0","4.9250517E7","213668187"
"2021/03/05","235000","0","0.00","230500","237000","228500","1153198","268136.0","5.0212024E7","213668187"
"2021/03/04","235000","-5000","-2.08","236000","238000","232500","1274581","299638.0","5.0212024E7","213668187"
"2021/03/03","240000","1000","0.42","239000","241500","236500","910872","217935.0","5.1280365E7","213668187"
"2021/03/02","239000","2000","0.84","244500","249000","237000","2509152","610330.0","5.1066697E7","213668187"
"2021/02/26","237000","-8000","-3.27","238500","248500","235500","2710962","650244.0","5.063936E7","213668187"
"2021/02/25","245000","10000","4.26","239000","245000","235000","1562697","375602.0","5.2348706E7","213668187"
"2021/02/24","235000","-9500","-3.89","246500","249000","235000","2072507","497656.0","5.0212024E7","213668187"
"2021/02/23","244500","3000","1.24","242500","247500","237000","1629578","395452.0","5.2241872E7","213668187"
"2021/02/22","241500","-500","-0.21","243000","247500","240000","1157808","281746.0","5.1600867E7","213668187"
"2021/02/19","242000","6500","2.76","236500","242000","235500","1168454","279405.0","5.1707701E7","213668187"
"2021/02/18","235500","-8000","-3.29","241000","243500","235500","1260023","300175.0","5.0318858E7","213668187"
"2021/02/17","243500","-4000","-1.62","248000","248000","242500","871176","212456.0","5.2028204E7","213668187"
"2021/02/16","247500","0","0.00","249000","251000","245000","1179084","292576.0","5.2882876E7","213668187"
"2021/02/15","247500","2500","1.02","247000","249000","243500","916331","225800.0","5.2882876E7","213668187"
"2021/02/10","245000","8500","3.59","239000","246000","235000","1233628","297336.0","5.2348706E7","213668187"
"2021/02/09","236500","2500","1.07","232500","240500","232500","1391614","330405.0","5.0532526E7","213668187"
"2021/02/08","234000","-15500","-6.21","238000","240500","228500","3212977","754390.0","4.9998356E7","213668187"
"2021/02/05","249500","1000","0.40","249500","250500","243000","1539977","381092.0","5.3310213E7","213668187"
"2021/02/04","248500","3000","1.22","251500","253000","244000","1907305","474785.0","5.3096544E7","213668187"
"2021/02/03","245500","5000","2.08","245000","252500","242500","2983093","738904.0","5.245554E7","213668187"
"2021/02/02","240500","2000","0.84","241500","243500","236000","1519973","365303.0","5.1387199E7","213668187"
"2021/02/01","238500","9500","4.15","229000","238500","224500","1798912","417673.0","5.0959863E7","213668187"
"2021/01/29","229000","-9500","-3.98","242000","242500","227000","2663404","617413.0","4.8930015E7","213668187"
"2021/01/28","238500","-7000","-2.85","238000","243500","236500","2033262","486785.0","5.0959863E7","213668187"
